Countries/Regions	records	% of 42
USA	17	40.476
SPAIN	7	16.667
AUSTRALIA	5	11.905
ENGLAND	5	11.905
BELGIUM	4	9.524
DENMARK	2	4.762
NETHERLANDS	2	4.762
BRAZIL	1	2.381
CANADA	1	2.381
CROATIA	1	2.381
GHANA	1	2.381
ISRAEL	1	2.381
NIGERIA	1	2.381
RUSSIA	1	2.381
SOUTH AFRICA	1	2.381
SWITZERLAND	1	2.381
(1 records (2.381%) do not contain data in the field being analyzed.)
