ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;144;2019;374;De, T.;5;Agricultural and Biological Sciences;93;Article;327;final;366;Animals;15;Grooming;305;CNRS Centre National de la Recherche Scientifique;6;National Institutes of Health;26;United States;114;Journal;353;English;372
Other;230;;;Choudhury, P.D.;3;Arts and Humanities;5;Review;20;aip;8;Primates;13;Article;248;Inserm;5;National Natural Science Foundation of China;22;China;37;Conference Proceeding;13;Chinese;2
;;;;Li, J.H.;3;Biochemistry, Genetics and Molecular Biology;75;Conference Paper;16;;;Behavioural Brain Research;12;Nonhuman;221;McGill University;5;Conselho Nacional de Desenvolvimento CientÃ­fico e TecnolÃ³gico;17;United Kingdom;35;Book Series;5;Spanish;1
;;;;Mohammed, H.H.;3;Business, Management and Accounting;2;Book Chapter;5;;;Physiology And Behavior;7;Male;211;Chinese Academy of Sciences;5;CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior;15;Germany;28;Book;3;;
;;;;Wang, X.;3;Chemical Engineering;4;Note;4;;;Neuropharmacology;5;Animal Experiment;180;Universidade Federal de Santa Maria;5;National Science Foundation;11;Brazil;25;;;;
;;;;Abou-Elnaga, A.F.;2;Chemistry;7;Letter;1;;;Pharmacology Biochemistry And Behavior;5;Controlled Study;177;National Institute of Technology, Durgapur;5;Japan Society for the Promotion of Science;7;India;22;;;;
;;;;Agustina, J.R.;2;Computer Science;25;Retracted;1;;;Plos One;5;Animal;165;Harvard Medical School;4;Deutsche Forschungsgemeinschaft;6;Canada;16;;;;
;;;;Ahmad, S.F.;2;Decision Sciences;2;;;;;Animal Behaviour;4;Animals;165;Kyoto University;4;Ministry of Education, Culture, Sports, Science and Technology;5;Italy;15;;;;
;;;;Ajao, A.;2;Dentistry;1;;;;;Applied Animal Behaviour Science;4;Female;150;University of California, Davis;4;National Research Foundation of Korea;5;Australia;13;;;;
;;;;Amodeo, D.A.;2;Earth and Planetary Sciences;2;;;;;Biomedicine And Pharmacotherapy;4;Priority Journal;120;Liverpool John Moores University;4;Canadian Institutes of Health Research;4;Japan;13;;;;
